event_id,station,network,location,channel,sp_ratio
bmg2026gkek,AAI,IA,--,HNZ,8.885827
bmg2026gkek,AMPM,IA,--,HNZ,72.44459
bmg2026gkek,APSI,IA,--,HNZ,8.983765
bmg2026gkek,BBLSI,IA,--,HNZ,16.969962
bmg2026gkek,BDCM,IA,00,HNZ,3.367205
bmg2026gkek,BGCM,IA,00,HNZ,33.626375
bmg2026gkek,BHCM,IA,00,HNZ,8.687563
bmg2026gkek,BLCM,IA,00,HNZ,14.856822
bmg2026gkek,BSMI,IA,--,HNZ,6.500926
bmg2026gkek,BTCM,IA,00,HNZ,21.170487
bmg2026gkek,BUBSI,IA,--,HNZ,75.873516
bmg2026gkek,BUMSI,IA,--,HNZ,7.833779
bmg2026gkek,DOCM,IA,00,HNZ,12.559374
bmg2026gkek,FKSPI,IA,--,HNZ,5.836974
bmg2026gkek,GARPI,IA,--,HNZ,5.737827
bmg2026gkek,GHMI,IA,00,HNZ,7.46953
bmg2026gkek,KARPI,IA,--,HNZ,26.233809
bmg2026gkek,KGCM,IA,00,HNZ,41.7387
bmg2026gkek,KMSI,IA,--,HNZ,12.178677
bmg2026gkek,KORPI,IA,--,HNZ,8.987114
bmg2026gkek,KRAI,IA,00,HNZ,1.117828
bmg2026gkek,KUBSI,IA,--,HNZ,0.148904
bmg2026gkek,LAPSI,IA,00,HNZ,17.403517
bmg2026gkek,LBMI,IA,00,HNZ,31.370385
bmg2026gkek,LKCI,IA,00,HNZ,2.314875
bmg2026gkek,LKUCM,IA,--,HNZ,10.123713
bmg2026gkek,LOMSI,IA,--,HNZ,2.291474
bmg2026gkek,LUCM,IA,00,HNZ,13.374872
bmg2026gkek,MBRPI,IA,--,HNZ,10.784565
bmg2026gkek,MGAI,IA,--,HNZ,13.8708
bmg2026gkek,MISSI,IA,--,HNZ,24.765361
bmg2026gkek,MPSI,IA,--,HNZ,0.733585
bmg2026gkek,MRSI,IA,--,HNZ,0.676755
bmg2026gkek,MSAI,IA,00,HNZ,7.557003
bmg2026gkek,MSCM,IA,00,HNZ,4.235703
bmg2026gkek,MTCM,IA,00,HNZ,4.72173
bmg2026gkek,MUMUI,IA,--,HNZ,18.234872
bmg2026gkek,NBMI,IA,00,HNZ,1.397562
bmg2026gkek,NKLSI,IA,00,HNZ,6.171888
bmg2026gkek,NLAI,IA,00,HNZ,1.043109
bmg2026gkek,NSBMM,IA,--,HNZ,21.831394
bmg2026gkek,OBMI,IA,--,HNZ,39.609701
bmg2026gkek,PICM,IA,00,HNZ,5.103507
bmg2026gkek,PKCI,IA,00,HNZ,2.586223
bmg2026gkek,PMCI,IA,00,HNZ,19.95626
bmg2026gkek,POBSI,IA,--,HNZ,2.739162
bmg2026gkek,POCI,IA,00,HNZ,43.895229
bmg2026gkek,PUPSI,IA,--,HNZ,5.53466
bmg2026gkek,SAPSI,IA,--,HNZ,11.851634
bmg2026gkek,SBSSI,IA,--,HNZ,8.190683
bmg2026gkek,SDCI,IA,00,HNZ,9.423566
bmg2026gkek,SRSI,IA,--,HNZ,3.01659
bmg2026gkek,TBMUI,IA,--,HNZ,8.53844
bmg2026gkek,TGCM,IA,00,HNZ,3.962405
bmg2026gkek,TIKSI,IA,--,HNZ,1.86518
bmg2026gkek,TIPSI,IA,--,HNZ,6.141775
bmg2026gkek,TLCM,IA,00,HNZ,23.450683
bmg2026gkek,TMTMM,IA,--,HNZ,6.206244
bmg2026gkek,TOBSI,IA,--,HNZ,15.623892
bmg2026gkek,TOCM,IA,00,HNZ,8.900286
bmg2026gkek,TOTSI,IA,--,HNZ,8.054585
bmg2026gkek,TPCI,IA,00,HNZ,10.406344
bmg2026gkek,TSPI,IA,00,HNZ,1.036199
bmg2026gkek,TTSMI,IA,--,HNZ,2.79457
bmg2026gkek,UKCM,IA,--,HNZ,3.013508
bmg2026gkek,UTUSI,IA,--,HNZ,42.579017
bmg2026gkek,WKCM,IA,--,HNZ,2.488276
bmg2026gkek,WMCM,IA,00,HNZ,79.662377
bmg2026gkek,WSTMM,IA,--,HNZ,5.108826
bmg2026gkek,WTKSI,IA,--,HNZ,3.07771
bmg2026gkek,WUPCM,IA,--,HNZ,3.813847
bmg2026gkek,WWCI,IA,00,HNZ,1.255914
